ship=1:25;2:50;3:100;4:200
brew=1:4;2:10
Rodovrevej=0:2;1:10;2:30;3:90;4:160;5:250
Hvidovre=0:4;1:20;2:60;3:180;4:320;5:540
Roskildevej=0:6;1:30;2:90;3:270;4:400;5:550
Valby Langgade=0:6;1:30;2:90;3:270;4:400;5:550
Allegade=0:8;1:40;2:100;3:300;4:450;5:600
Frederiksberg Alle=0:10;1:50;2:150;3:450;4:625;5:750
Bulowsvej=0:10;1:50;2:150;3:450;4:625;5:750
Gl. Kongevej=0:12;1:60;2:180;3:500;4:700;5:900
Bernstorffsvej=0:14;1:70;2:200;3:550;4:750;5:950
Hellerubvej=0:14;1:70;2:200;3:550;4:750;5:950
Strandvej=0:16;1:80;2:220;3:600;4:800;5:1000
Trianglen=0:18;1:90;2:250;3:700;4:875;5:1050
Osterbrogade=0:18;1:90;2:250;3:700;4:875;5:1050
Gronningen=0:20;1:100;2:300;3:750;4:925;5:1100
Bredgade=0:22;1:110;2:330;3:800;4:975;5:1150
Kgs. Nytorv=0:22;1:110;2:330;3:800;4:975;5:1150
Ostergade=0:22;1:120;2:360;3:850;4:1025;5:1200
Amagertorv=0:26;1:130;2:390;3:900;4:1100;5:1275
Vimmelskaftet=0:26;1:130;2:390;3:900;4:1100;5:1275
Nygade=0:28;1:150;2:450;3:1000;4:1200;5:1400
Frederiksberggade=0:35;1:175;2:500;3:1100;4:1300;5:1500
Raadhuspladsen=0:50;1:200;2:600;3:1400;4:1700;5:2000
